1,2
1,34
2,1
2,3
2,8
2,34
3,2
3,4
3,8
3,39
4,3
4,5
4,9
4,39
5,4
5,6
5,7
5,9
5,45
6,5
6,7
6,10
6,45
7,6
7,10
8,2
8,3
9,4
9,5
10,6
10,7
10,11
10,12
11,10
11,12
11,13
12,10
12,11
13,11
14,15
14,22
15,14
15,16
15,22
15,52
16,15
16,17
16,36
16,52
17,16
17,18
17,26
17,27
17,36
18,17
18,19
18,27
18,28
19,18
19,20
19,28
19,29
19,49
20,19
20,21
20,29
20,30
20,49
21,20
21,30
22,14
22,15
22,23
22,24
23,22
23,24
24,22
24,23
24,25
25,24
26,16
26,17
26,36
27,17
27,18
27,34
28,18
28,19
29,19
29,20
29,49
30,20
30,21
30,31
30,32
31,30
31,32
32,30
32,31
32,33
33,32
34,1
34,2
34,35
34,37
35,34
35,36
35,37
35,38
36,16
36,17
36,26
36,35
36,38
37,35
37,39
37,40
38,35
38,36
39,3
39,4
39,37
39,40
40,37
40,39
40,41
40,42
41,40
41,42
41,46
41,47
42,40
42,41
42,43
42,44
43,42
43,44
43,48
43,49
44,42
44,43
45,5
45,6
45,46
45,50
46,41
46,45
46,47
46,50
47,41
47,46
47,48
47,51
48,43
48,47
48,49
48,51
49,19
49,20
49,29
49,43
49,48
50,45
50,46
51,47
51,48
52,15
52,16
